epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.82991,1.56611,5.45609,2.07572,0.58371,0.85,0.81297,0.58335,1.81335,1.15512,1.46522,3.57e-06,3.57e-06,3.57e-06
2,7.454,1.41572,5.13537,1.72635,0.79521,0.66667,0.86762,0.60018,1.85424,1.15196,1.47688,7.50533e-06,7.50533e-06,7.50533e-06
3,9.07558,1.19042,5.50093,1.43787,0.79521,0.66667,0.86762,0.60018,1.85424,1.15196,1.47688,1.04982e-05,1.04982e-05,1.04982e-05
4,10.4265,1.44327,4.79068,1.82067,0.79521,0.66667,0.86762,0.60018,1.85424,1.15196,1.47688,1.25486e-05,1.25486e-05,1.25486e-05
5,12.2681,1.56479,6.15345,1.86024,0.79521,0.66667,0.86762,0.60018,1.85424,1.15196,1.47688,1.36564e-05,1.36564e-05,1.36564e-05
6,13.5896,1.64968,5.12918,2.14959,0.7103,0.68333,0.83275,0.57082,2.0128,1.15342,1.66894,1.38219e-05,1.38219e-05,1.38219e-05
7,14.8762,1.478,5.64088,1.85018,0.7103,0.68333,0.83275,0.57082,2.0128,1.15342,1.66894,1.30448e-05,1.30448e-05,1.30448e-05
8,16.1669,1.50907,5.87589,1.79935,0.7103,0.68333,0.83275,0.57082,2.0128,1.15342,1.66894,1.13252e-05,1.13252e-05,1.13252e-05
9,17.4604,1.32219,4.96886,1.5386,0.7103,0.68333,0.83275,0.57082,2.0128,1.15342,1.66894,8.6632e-06,8.6632e-06,8.6632e-06
10,18.7564,1.52966,6.27639,1.7309,0.7103,0.68333,0.83275,0.57082,2.0128,1.15342,1.66894,5.05869e-06,5.05869e-06,5.05869e-06
